species,R.km2,P.km2,R.fill,S.fill,Lat,Long,R.shape,P.shape,S.shape
Abies amabilis,5.26,5.945,42.69,19.005,50.242,-125.123,1.19,0.246,0.949
Abies balsamea,6.516,6.706,75.868,72.133,50.555,-81.821,0.318,0.328,0.748
Abies concolor,5.253,6.632,8.657,29.119,38.026,-114.335,0.723,0.396,0.93
Abies grandis,5.368,6.15,31.546,27.323,46.732,-120.152,0.917,0.284,0.947
Abies lasiocarpa,6.102,6.888,28.419,26.493,53.464,-122.685,0.793,0.359,0.99
Abies magnifica,4.496,5.459,31.577,17.008,39.814,-120.985,1.301,1.161,1.023
Abies procera,4.533,5.38,29.811,15.467,44.715,-122.284,1.817,0.762,1.131
Acacia berlandieri,5.582,5.976,52.592,61.888,26.948,-100.904,0.91,0.376,1.017
Acacia farnesiana,5.755,6.074,62.46,66.613,25.858,-102.982,0.533,0.435,0.955
Acacia greggii,5.977,6.233,65.821,52.509,30.103,-106.906,0.681,0.635,0.955
Acacia rigidula,5.348,5.803,55.792,56.324,26.499,-99.343,1.242,0.344,0.941
Acacia roemeriana,5.317,5.948,32.903,39.793,29.026,-101.864,0.932,0.41,0.925
Acacia tortuosa,5.6,6.057,54.608,63.613,25.472,-101.016,0.423,0.512,1.072
Acacia wrightii,5.324,5.896,39.772,52.241,27.157,-99.919,1.562,0.413,1.009
Acer circinatum,5.363,5.694,63.746,44.541,45.424,-122.612,2.384,0.919,1.203
Acer glabrum,6.077,6.653,42.313,40.508,47.701,-118.915,0.835,0.356,1.029
Acer macrophyllum,5.445,5.761,65.697,49.743,45.459,-123.682,1.591,1.131,1.408
Acer negundo,6.631,6.908,68.662,60.32,41.52,-95.55,0.486,0.469,0.976
Acer pensylvanicum,5.872,6.215,65.546,59.639,44.154,-73.078,0.479,0.315,0.904
Acer rubrum,6.507,6.588,91.885,91.183,39.826,-82.202,0.534,0.403,0.897
Acer saccharinum,6.397,6.52,85.48,92.108,39.738,-85.602,0.578,0.498,0.796
Acer saccharum,6.441,6.767,72.432,92.113,39.287,-86.261,0.443,0.418,0.887
Acer spicatum,6.312,6.622,69.072,68.812,47.116,-80.191,0.382,0.349,0.882
Aesculus californica,4.821,5.262,51.185,46.194,38.407,-121.607,1.116,1.639,0.994
Aesculus flava,5.405,5.898,43.084,43.001,37.343,-83.185,0.629,0.32,0.905
Aesculus glabra,5.97,6.289,59.384,67.397,37.767,-90.661,0.652,0.483,1.063
Aesculus parviflora,4.811,5.618,33.647,38.427,32.588,-86.536,1.025,0.377,1.135
Aesculus pavia,5.863,6.152,62.519,81.24,32.589,-88.598,0.414,0.377,0.782
Aesculus sylvatica,5.062,5.711,38.002,30.825,34.799,-82.25,0.381,0.421,0.981
Agave utahensis,4.425,5.767,16.365,20.422,36.178,-114.129,0.513,0.914,1.047
Alnus alnobetula,6.058,6.862,33.867,25.188,53.935,-129.275,0.461,0.404,0.91
Alnus incana,6.855,7.007,77.493,65.819,54.112,-104.352,0.326,0.375,0.886
Alnus oblongifolia,4.488,6.243,8.934,14.267,33.429,-109.956,1.631,0.447,1.162
Alnus rhombifolia,5.145,6.135,30.892,34.306,40.598,-121.319,1.675,0.391,1.011
Alnus rubra,5.495,6.14,41.016,25.707,50.315,-127.089,1.018,0.282,0.955
Alnus serrulata,6.151,6.377,65.768,76.735,36.254,-82.923,0.478,0.411,0.967
Amelanchier alnifolia,6.576,7.005,47.355,46.796,53.633,-116.444,0.353,0.411,1.009
Amelanchier arborea,6.439,6.537,89.183,88.63,40.651,-82.438,0.467,0.439,0.858
Amelanchier interior,4.705,5.854,18.018,50.486,46.378,-92.437,0.538,0.531,1.029
Amelanchier sanguinea,5.559,6.219,32.773,45.226,45.238,-81.965,0.467,0.405,0.969
Amelanchier utahensis,5.358,6.632,11.166,21.384,38.16,-109.122,0.896,0.441,0.981
Aralia spinosa,6.09,6.306,71.972,67.374,34.621,-84.844,0.728,0.473,0.888
Arbutus arizonica,5.065,6.027,31.672,26.556,26.439,-106.715,1.351,0.46,1.1
Arbutus menziesii,5.154,5.554,57.83,42.108,43.834,-123.178,1.822,1.454,1.392
Artemisia tridentata,6.03,6.67,46.732,52.633,42.748,-113.112,1.169,0.473,0.874
Asimina parviflora,5.147,5.652,50.175,43.442,30.506,-84.283,0.472,0.36,0.824
Asimina triloba,6.198,6.326,84.667,74.556,37.076,-86.172,0.6,0.477,0.977
Baccharis halimifolia,5.889,6.167,69.817,61.491,32.056,-85.916,0.646,0.459,0.772
Betula alleghaniensis,6.176,6.408,77.434,70.201,44.587,-78.22,0.348,0.342,0.948
Betula lenta,5.702,6.125,54.393,64.208,40.092,-78.184,0.811,0.358,0.877
Betula nana,6.495,6.786,61.644,53.744,62.354,-111.951,0.207,0.3,0.595
Betula nigra,6.151,6.365,69.937,74.151,35.637,-86.492,0.603,0.497,0.905
Betula occidentalis,5.87,6.782,20.436,39.455,49.441,-110.044,0.731,0.384,1.033
Betula papyrifera,6.835,6.99,76.966,67.142,55.186,-105.634,0.298,0.385,0.867
Betula populifolia,5.613,6.036,54.64,53.093,44.221,-70.624,0.479,0.279,0.885
Bursera microphylla,5.157,5.733,47.264,32.859,28.019,-112.677,1.58,0.673,1.019
Caesalpinia mexicana,5.08,5.791,37.479,31.543,24.317,-99.049,0.421,0.425,1.245
Calocedrus decurrens,5.046,5.794,40.536,35.134,40.383,-121.619,1.643,1.523,1.102
